ID,Категория,Статус,Приоритет,Описание,Как воспроизвести,Ожидаемое поведение
C-01,API-Клиенты,❓ Не проверено,,DELETE /clients/{id} — удаление клиента с серверами,Попробовать удалить клиента у которого есть активные/черновики серверы,Должна возвращаться ошибка 400 с сообщением
C-02,API-Клиенты,❓ Не проверено,,GET /clients — пагинация (skip/limit),Запросить /clients?skip=0&limit=10,Должны вернуться первые 10 записей + total
S-01,API-Серверы,❓ Не проверено,,PUT /servers/{id} — изменение конфигурации активного сервера,Создать активный сервер изменить CPU/RAM через PUT,Должна создаться запись в vm_config_history с effective_from = сегодня
S-02,API-Серверы,❓ Не проверено,,POST /servers/{id}/activate — дата старта,Активировать сервер который был создан как черновик,start_date = сегодня
S-03,API-Серверы,❓ Не проверено,,POST /servers/{id}/deactivate — дата стопа,Деактивировать активный сервер,stop_date = сегодня
S-04,API-Серверы,❓ Не проверено,,GET /servers?physical_server_id={id} — фильтрация по хосту,Запросить серверы на конкретном хосте,Должны вернуться только серверы на этом хосте
PS-01,API-Хосты,❓ Не проверено,,DELETE /physical-servers/{id} — удаление хоста с серверами,Попробовать удалить хост на котором есть VM,Ошибка 400 сообщение о наличии серверов
PS-02,API-Хосты,❓ Не проверено,,GET /physical-servers — пагинация,Запросить /physical-servers?skip=0&limit=10,Структура {items total skip limit}
PR-01,API-Цены,❓ Не проверено,,POST /prices — дублирование даты,Добавить цену с effective_from который уже существует,Ошибка 400 "Дата уже используется"
PR-02,API-Цены,❓ Не проверено,,PUT /prices/{id} — изменение цены уже использованной в биллинге,Изменить цену которая была применена в daily_billing,Ошибка 400 "Цена уже использована в расчётах"
PR-03,API-Цены,❓ Не проверено,,DELETE /prices/{id} — удаление использованной цены,Удалить цену которая была применена,Ошибка 400
R-01,API-Отчёты,❓ Не проверено,,GET /reports/client/{id} — период по умолчанию,Запросить без start_date/end_date,Должен быть текущий месяц
R-02,API-Отчёты,❓ Не проверено,,GET /reports/summary?group_by=day,Запросить сводку с группировкой по дням,Возвращать массив days с датами и суммами
R-03,API-Отчёты,❓ Не проверено,,GET /reports/datacenter?date — проценты >100%,Проверить загрузку если есть overcommit,Проценты могут быть >100 это допустимо
W-01,Веб-Общие,❓ Не проверено,,Ошибка 500 на любой странице,Открыть любую страницу,Страница открывается без ошибок
W-DASH-01,Веб-Главная,❓ Не проверено,,Статистика: выручка за месяц,Загрузить главную,Цифра соответствует сумме за текущий месяц
W-DASH-02,Веб-Главная,❓ Не проверено,,Статистика: активные серверы,Загрузить главную,Цифра соответствует количеству active серверов
W-DASH-03,Веб-Главная,❓ Не проверено,,Статистика: количество клиентов,Загрузить главную,Цифра соответствует количеству клиентов
W-DASH-04,Веб-Главная,❓ Не проверено,,Загрузка ДЦ (проценты),Загрузить главную,Отображаются проценты (могут быть >100)
W-CL-01,Веб-Клиенты,❓ Не проверено,,Список клиентов — пагинация,Переключить страницу,Работает переход
W-CL-02,Веб-Клиенты,❓ Не проверено,,Список клиентов — поиск по названию,Ввести текст в поиск,Фильтруется список
W-CL-03,Веб-Клиенты,❓ Не проверено,,Создание клиента — форма,Заполнить отправить,Клиент появляется в списке
W-CL-04,Веб-Клиенты,❓ Не проверено,,Карточка клиента — список серверов,Открыть карточку клиента,Отображаются все серверы этого клиента
W-SRV-01,Веб-Серверы,❓ Не проверено,,Список серверов — фильтр по статусу,Выбрать статус в фильтре,Список обновляется
W-SRV-02,Веб-Серверы,❓ Не проверено,,Список серверов — фильтр по клиенту,Выбрать клиента,Список обновляется
W-SRV-03,Веб-Серверы,❓ Не проверено,,Список серверов — пагинация,Переключить страницу,Работает
W-SRV-04,Веб-Серверы,❓ Не проверено,,Создание сервера — все поля формы,Заполнить CPU RAM диски ОС назначение,Сервер создаётся со статусом draft
W-SRV-05,Веб-Серверы,❓ Не проверено,,Редактирование сервера — смена хоста,Выбрать другой хост в форме,После сохранения сервер привязан к новому хосту
W-SRV-06,Веб-Серверы,❓ Не проверено,,Карточка сервера — история изменений,Открыть карточку перейти на вкладку,Отображаются все изменения
W-SRV-07,Веб-Серверы,❓ Не проверено,,Карточка сервера — кнопка "Активировать",Нажать для сервера со статусом draft,Статус меняется start_date проставляется
W-PS-01,Веб-Хосты,❓ Не проверено,,Список хостов — пагинация,Переключить страницу,Работает
W-PS-02,Веб-Хосты,❓ Не проверено,,Создание хоста — форма,Заполнить отправить,Хост появляется в списке
W-PS-03,Веб-Хосты,❓ Не проверено,,Детальная страница хоста,Кликнуть на название хоста в списке,Открывается страница с информацией и списком серверов на этом хосте
W-PS-04,Веб-Хосты,❓ Не проверено,,Детальная страница хоста — список серверов,Открыть страницу хоста,Отображаются только серверы на этом хосте
W-PR-01,Веб-Цены,❓ Не проверено,,История цен — отображение,Открыть /prices,Таблица с датами и ценами
W-PR-02,Веб-Цены,❓ Не проверено,,Добавление цены — форма,Заполнить дату и цены,Новая запись появляется в таблице
W-PR-03,Веб-Цены,❓ Не проверено,,Редактирование цены — защита истории,Попробовать отредактировать старую цену,Ошибка или блокировка
W-REP-01,Веб-Отчёты,❓ Не проверено,,Отчёты — выбор типа,Выбрать "Сводный",Отображается таблица с клиентами и суммами
W-REP-02,Веб-Отчёты,❓ Не проверено,,Отчёты — выбор периода,Выбрать start_date/end_date,Данные фильтруются по датам
W-REP-03,Веб-Отчёты,❓ Не проверено,,Отчёты — отображение в таблице,Сформировать любой отчёт,Данные в HTML-таблице а не JSON
W-DC-01,Веб-ЗагрузкаДЦ,❓ Не проверено,,Прогресс-бары для каждого хоста,Открыть /datacenter,Отображаются прогресс-бары для CPU RAM NVMe HDD
W-DC-02,Веб-ЗагрузкаДЦ,❓ Не проверено,,Общая загрузка,Открыть /datacenter,Отображаются средние проценты по ДЦ
B-01,Скрипты-Биллинг,❓ Не проверено,,Запуск за сегодня,python scripts/daily_billing.py,Создаются записи в daily_billing
B-02,Скрипты-Биллинг,❓ Не проверено,,Запуск за конкретную дату,python scripts/daily_billing.py --date 2025-03-15,Создаются записи за указанную дату
B-03,Скрипты-Биллинг,❓ Не проверено,,Защита от дубликатов,Запустить дважды без --force,Второй раз выводит предупреждение
B-04,Скрипты-Биллинг,❓ Не проверено,,Режим --force,python scripts/daily_billing.py --date 2025-03-15 --force,Существующие записи удаляются создаются новые
B-05,Скрипты-Биллинг,❓ Не проверено,,Режим --dry-run,python scripts/daily_billing.py --date 2025-03-15 --dry-run,Показывает что будет сделано без изменений
I-01,Скрипты-Импорт,❓ Не проверено,,Dry-run импорта,python scripts/import_history.py --csv data.csv --dry-run,Показывает статистику без загрузки
I-02,Скрипты-Импорт,❓ Не проверено,,Импорт новых клиентов,Загрузить CSV с новым клиентом,Клиент создаётся
I-03,Скрипты-Импорт,❓ Не проверено,,Импорт существующих клиентов,Загрузить CSV с клиентом который уже есть,Клиент не дублируется
INF-01,Инфраструктура,❓ Не проверено,,Запуск API,python run_api.py,Сервер запускается Swagger доступен
INF-02,Инфраструктура,❓ Не проверено,,Переменные окружения,Проверить .env.example,Все необходимые переменные описаны
INF-03,Инфраструктура,❓ Не проверено,,Зависимости,pip install -r requirements.txt,Все зависимости устанавливаются